name,year
Carthago Delenda Est,1896
Бессмысленные мечтания,1891
Богу или маммоне,1895
Два письма к М.Ганди,1909
Две войны,1898
Доклад, приготовленный для конгресса о мире в Стокгольме,1909
Неделание,1893
О безумии,1910
О социализме,1910
Ответ польской женщине,1909
Патриотизм и правительство,1900
Патриотизм или мир,1896
Первая ступень,1891
Письмо революционеру,1909
Письмо студенту о праве,1909
По поводу заключения В.А. Молчникова,1908
Приближение конца,1896
Студенческое движение 1899 года,1899
Удивительные существа,1909
